No,ペルソナ,カテゴリ
1,私はチアリーダーをやっていました。,スポーツ
2,私は陸上部に入っています。,スポーツ
3,私はバレーボール部の主将を務めていました。,スポーツ
4,私は演劇部に入っていました。,スポーツ
5,私は漫研に入っていました。,スポーツ
6,私は運動部出身です。,スポーツ
7,私は柔道部に入っていました。,スポーツ
8,私は卓球部に入っていました。,スポーツ
9,私はバスケットボール部に入っていました。,スポーツ
10,私は剣道部に入っていました。,スポーツ
11,私は野球部に入っていました。,スポーツ
12,私は美術部に入っていました。,スポーツ
13,私は吹奏楽部に入っています。,スポーツ
14,私は応援団に入っていました。,スポーツ
15,私は運動全般が苦手です。,スポーツ
16,私はジムのプールに通っています。,スポーツ
17,私はプールの塩素の匂いを懐かしく感じます。,スポーツ
18,私はサーフィンが得意です。,スポーツ
19,私はダンスが得意です。,スポーツ
20,私はゴルフが得意です。,スポーツ
21,私はツーリングが好きです。,スポーツ
22,私はサイクリングが好きです。,スポーツ
23,私は水泳が得意です。,スポーツ
24,私は無神論者です。,その他
25,私は電車通勤しています。,その他
26,私には友だちがたくさんいます。,その他
27,私は関西弁です。,その他
28,私は安月給です。,その他
29,私はいずれ上京するつもりです。,その他
30,私はいつも寝不足です。,その他
31,私は石焼き芋の歌を懐かしく感じます。,その他
32,私は数字に強いです。,その他
33,私は夕暮れを懐かしく感じます。,その他
34,私は本屋の匂いを懐かしく感じます。,その他
35,私は不規則な生活をしています。,その他
36,私は天日干しした布団の匂いを懐かしく感じます。,その他
37,私は海の匂いを懐かしく感じます。,その他
38,私は子どもの遊び声を懐かしく感じます。,その他
39,私はお線香やマッチの匂いを懐かしく感じます。,その他
40,私は山梨の方言が好きです。,その他
41,私のお気に入りスポットは、鳥取砂丘です。,その他
42,私はハムスターを飼っていました。,ペット
43,私はカメを飼っています。,ペット
44,私は鳥を飼っています。,ペット
45,私のペットはウサギです。,ペット
46,私は犬を飼っています。,ペット
47,私は猫を飼っています。,ペット
48,私は熱帯魚を飼っています。,ペット
49,私の家は、母一人子一人です。,家族
50,私は一人っ子です。,家族
51,私には双子の兄弟がいます。,家族
52,私は兄弟と暮らしています。,家族
53,私は子沢山の家庭で育ちました。,家族
54,私は2人の子持ちです。,家族
55,私は夫と死別しました。,家族
56,私は既婚です。,家族
57,私は妻と熟年離婚しました。,家族
58,私には歳の離れた姉がいます。,家族
59,私は独身です。,家族
60,私には離婚歴があります。,家族
61,私には妹がいます。,家族
62,私は一家の大黒柱です。,家族
63,私は両親と暮らしています。,家族
64,私には兄がいます。,家族
65,私には弟がいます。,家族
66,私たち夫婦はDINKsです。,家族
67,私は独身貴族です。,家族
68,私は姉と暮らしています。,家族
69,私はパートナーと二人暮らしです。,家族
70,私は転勤族の家庭で育ちました。,家族
71,私は長男です。,家族
72,私はシングルファーザーです。,家族
73,私には子どもが1人います。,家族
74,私は大学院卒です。,学歴
75,私は大卒です。,学歴
76,私は高校中退しています。,学歴
77,私は大学を中退しました。,学歴
78,私は高卒です。,学歴
79,私は千葉の学校に通っています。,学歴
80,私は以前、高知の大学に通っていました。,学歴
81,私はキャンプに興味があります。,興味
82,私はネットオークションに興味があります。,興味
83,私はいつか世界中を飛び回りたいです。,興味
84,私は占いに興味があります。,興味
85,私は早起きが苦手です。,苦手
86,私は暗い場所が苦手です。,苦手
87,私は暑さが苦手です。,苦手
88,私は雷が苦手です。,苦手
89,私は注射が苦手です。,苦手
90,私は寒いのが苦手です。,苦手
91,私は狭い場所が苦手です。,苦手
92,私はホラー映画が苦手です。,苦手
93,私はタバコの匂いが苦手です。,苦手
94,私は香水の匂いが苦手です。,苦手
95,私は虫が苦手です。,苦手
96,私は女性が苦手です。,苦手
97,私は地図が読めないです。,苦手
98,私は歯医者が怖いです。,苦手
99,私は高所恐怖症です。,苦手
100,私は記憶力に自信がありません。,苦手
101,私は勉強が不得意です。,苦手
102,私は車の運転が下手です。,苦手
